layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,process,side,subjid
-10.3696048393639,-10.5698309683555,-10.4639051826342,-10.2540009280568,-9.8814549643276,-9.36633873411072,-8.59253549426285,-8.45371000208736,-8.92561542652973,-9.81834663399484,-10.4059377156099,-10.6591724786286,-10.4131427897085,-10.5322681666495,-11.2797516461313,-12.512377800543,-14.511040446888,-16.8287788572523,-19.2121063384122,-20.570069495169,HCHP,left,7349
-3.25911711385728,-4.28556661159172,-5.50841824744553,-6.78050829143872,-8.27158181225361,-10.0895908609819,-11.8658879384229,-13.5256121337826,-14.8069639953863,-15.7470851599716,-16.3158769214113,-16.4741509383378,-16.5099997183582,-16.65958340509,-17.1407027201617,-18.3189172536298,-20.1318227890372,-22.2296503717803,-24.1551873236014,-25.6181575665848,HCHP,left,7356
-3.44747683910434,-4.54649528006082,-5.71042147133599,-6.4627045976886,-6.84882973419159,-7.23339758178926,-7.35384331875488,-7.2662239573446,-7.25044438092432,-7.2877040291093,-7.70783994868701,-9.05533009613658,-11.1578257406055,-13.565983653582,-16.0540216735557,-18.2309313261317,-19.9279163649867,-20.7330398380366,-20.9539835405003,-20.5984943268651,HCHP,left,7361
-5.05853564384359,-5.38636369252462,-5.65102181856909,-5.91410536181708,-6.43776324883427,-7.04902076600229,-7.64065305674003,-8.00141122638763,-8.17842160710861,-8.34123498400126,-8.74143794347864,-9.54793838684478,-10.9464587508919,-12.8816853123406,-15.0662974292827,-17.2123212755867,-18.8470794001022,-19.7540967678957,-19.9151846223724,-19.7065567234305,HCHP,left,7375
-8.27526447527267,-9.19387057075643,-9.65411449627135,-9.33985964401968,-8.60301100819577,-7.76733272424311,-6.96181582087526,-6.4756865755751,-6.36580205696978,-6.81516185488768,-7.36180526383092,-7.84886192423998,-8.3743259867961,-9.03552701918164,-10.0671049035641,-11.4663292050985,-12.8549090185675,-13.8828975979563,-14.1600200607871,-13.2186569936052,HCHP,left,7383
-7.42072826317632,-9.22607849728757,-10.7783683304633,-11.840892114268,-12.358829465085,-12.3026635969383,-11.9113810800951,-11.3071280902343,-10.9749230109958,-10.98682167964,-11.5882551211257,-12.7349497999873,-14.176771225524,-16.0087498701919,-17.7729077073513,-19.5038910951706,-21.2460610287679,-22.7471196732821,-23.7354884438719,-23.910571348428,HCHP,left,7402
-59.0689939079015,-60.2407790162541,-59.5503079452339,-57.4799366176009,-54.7090408966695,-53.3473283756348,-53.6164187801051,-55.214935984003,-58.6309779973418,-62.6340570965646,-66.2522034895822,-68.5493104222501,-69.1407318464946,-69.3028508651711,-69.4988378367733,-71.151038696745,-73.2411521184655,-73.9874821154898,-73.4924728360262,-71.7442284077931,HCHP,left,7403
-4.64315817602702,-3.74858585262386,-3.02677832007249,-2.95246052084523,-3.44754384398973,-4.39716881479938,-5.46074169738828,-6.23091750444335,-6.64506270078995,-6.84396935277973,-7.10512401328959,-7.56514410356783,-8.37961754632514,-9.05789653853188,-9.51912320847677,-9.68855810469184,-9.57644528515497,-9.39558519104866,-9.53941171318924,-10.5090559444134,HCHP,left,7404
-8.14300622582106,-6.52887327474463,-4.06831029110432,-1.77287437526364,-0.76940722811733,-1.03432901949034,-2.59571705876975,-4.60210182747477,-5.83942085240931,-5.70424850205186,-5.23849513704924,-5.52256127938165,-7.37365735817115,-10.292838085962,-13.2705263511255,-15.2594061993343,-15.7201698551604,-15.0235581228484,-14.0463844985366,-13.7797743247751,HCHP,left,7405
-3.03831846091404,-3.00768897013919,-2.70362231213792,-2.42943281256934,-2.03955097311345,-1.48540033533437,-0.715845817071706,-0.0584621934163847,0.330020714855769,0.135007951581465,-0.99124332928525,-2.92415044799459,-5.43347943529926,-7.61875478843505,-9.23103042608049,-10.6920831209324,-11.931704710566,-13.1471581261976,-13.944963100928,-13.8268680534155,HCHP,left,7408
-10.125616209474,-9.30704178736436,-8.02912342529186,-6.58423413049253,-4.76139942939608,-2.84754622871885,-1.34834098814268,-0.497300439321496,-0.39049958460585,-1.1759203957684,-2.6258167902781,-4.05281825956363,-5.16616959522495,-5.72206778757588,-5.9938727677219,-6.41433782363522,-7.71351167210293,-10.0679163299622,-13.5789550129397,-17.7141832344037,HCHP,left,7414
